flag,cst_unn_id,bas_inf,act,zx
1,36561246,15,20,30
1,36145338,20,5,-15
1,34350012,10,12,85
1,35891299,6,12,15
1,36345008,38,7,80
1,31575282,10,12,115
1,33956313,10,5,-70
1,37415854,15,15,-95
1,32894177,10,12,95
1,30749422,8,10,40
1,31585872,10,12,90
1,38107505,10,15,50
1,34678312,20,3,-35
1,33706618,41,2,95
1,40660781,40,10,20
1,36926178,28,5,-10
1,41274624,12,10,0
1,34401002,20,17,50
1,43956641,10,10,5
1,33404415,-5,5,35
1,40529255,10,20,-40
1,37862510,8,22,105
1,39138114,10,7,40
1,40960517,8,3,10
1,39661834,20,-5,40
1,36922726,5,2,-30
1,36720107,10,10,85
1,35296816,10,-3,120
1,38816104,12,7,-65
1,31583458,-3,12,115
1,32399306,8,17,105
1,32512249,17,2,-10
1,30606216,10,12,55
1,41097925,40,15,-50
1,38976265,15,-5,-65
1,41230496,40,20,-5
1,39567501,10,-3,-15
1,32915397,10,7,30
1,43670522,10,-3,-25
1,31420153,28,28,-80
1,32968191,25,0,-80
1,39537102,20,7,-50
1,34351053,18,20,-10
1,37077936,40,-3,-90
1,32126315,10,2,-20
1,41223613,15,-3,85
1,36542406,45,20,-85
1,40927491,15,12,110
1,37354028,40,0,-60
1,35274295,10,-3,-30
1,35935372,8,12,15
1,35293403,8,15,80
1,37609929,15,2,70
1,31564208,8,15,-50
1,34438487,30,7,0
1,30431899,10,-8,15
1,35115456,10,12,60
1,36947298,15,7,35
1,30886955,15,7,15
1,30886955,15,7,15
1,38560725,1,0,5
1,36376772,10,10,105
1,30492307,38,0,-80
1,36169860,10,7,-30
1,35834899,10,12,-65
1,40953063,8,7,40
1,33650219,8,12,80
1,34001056,15,12,110
1,41987989,22,28,30
1,40275829,15,-3,-85
1,39237074,25,7,-70
1,35696413,10,20,20
1,36801621,15,27,85
1,36093880,10,10,60
1,33059450,10,30,60
1,34082444,30,-13,-50
1,37349515,10,25,-20
1,41672528,35,12,-80
1,36790705,7,22,75
1,35182865,10,10,15
1,34194980,45,-13,45
1,38604136,16,10,-80
1,43990374,21,10,-65
